                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4816,                 5.6134,                 4.2057,                      0,                      0,                      0,                      0,                 2.8052,                 5.4989,                  4.159,              4.734e-05,              4.734e-05,              4.734e-05
                      2,                 2.4917,                  5.446,                 4.1555,                      0,                      0,                      0,                      0,                 2.7968,                  5.497,                 4.1556,             9.0046e-05,             9.0046e-05,             9.0046e-05
                      3,                 2.4042,                 5.3546,                 4.1068,                      0,                      0,                      0,                      0,                 2.7765,                 5.4905,                 4.1467,             0.00012234,             0.00012234,             0.00012234
                      4,                 2.4093,                 5.3797,                 4.0658,                  8e-05,                0.06667,                0.00077,                 0.0001,                 2.7368,                  5.474,                 4.1271,             0.00014421,             0.00014421,             0.00014421
                      5,                 2.2005,                  5.323,                 3.9911,                0.00015,                0.14667,                 0.0054,                0.00076,                 2.6752,                  5.458,                 4.0952,             0.00015567,             0.00015567,             0.00015567
                      6,                 2.1415,                  5.421,                 3.9373,                0.00016,                0.15333,                0.00056,                 0.0001,                 2.6302,                  5.452,                 4.0717,             0.00015672,             0.00015672,             0.00015672
                      7,                 2.2233,                 5.2486,                 3.8597,                0.00016,                0.15333,                0.00038,                  8e-05,                 2.5852,                 5.4412,                 4.0487,             0.00014735,             0.00014735,             0.00014735
                      8,                 2.1901,                 5.1414,                 3.7338,                0.00016,                0.14667,                0.00025,                  5e-05,                 2.5783,                 5.4272,                 4.0528,             0.00012757,             0.00012757,             0.00012757
                      9,                 2.1294,                  5.106,                 3.7063,                0.00011,                    0.1,                0.00011,                  2e-05,                 2.5995,                 5.4339,                 4.0904,             9.7373e-05,             9.7373e-05,             9.7373e-05
                     10,                 2.0497,                 5.1141,                 3.6607,                 0.0001,                0.09333,                 0.0001,                  2e-05,                 2.6208,                 5.4418,                 4.1181,             5.6761e-05,             5.6761e-05,             5.6761e-05
